"user_id","status_id","created_at","screen_name","text","source","verified","city","domain"
"x871704365186375680","x1072548943962230784","2018-12-11 17:49:29+00","VbbInfo","#M13 S Warschauer Str. hat 5 Minuten Verspätung https://t.co/2bJrYq31do #BVG 18:49 11.12.18","VBBInfo","f","berlin","train"
"x980086351","x1072548198663766016","2018-12-11 17:46:32+00","KVB_Info","Linie 7 * Folgende Fahrt entfällt * (H) Zündorf 18:55h - (H) Porz Markt 18:59h - (H) Gilgaustr. 19:04h - (H) Salmstr. 19:10h - (H) Deutzer Freiheit 19:18h - (H) Neumarkt 19:23h - (H) Moltkestr. 19:28h - (H) Aachener Str. 19:32h - (H) Dürener Str. 19:35h... https://t.co/Dhb3qR2oKt","MOFIS Tweets","f","koeln","train"
"x166866601","x1072547815405117440","2018-12-11 17:45:00+00","SBahnBerlin","#S3 Berichtigung: Es verkehrt ein Zug zwischen #Erkner und #Rahnsdorf. Sorry. https://t.co/GpsgXvQqR4","TweetDeck","t","berlin","train"
"x980086351","x1072547443248640000","2018-12-11 17:43:32+00","KVB_Info","Linie 18 * Folgende Fahrt entfällt * (H) Wiener Platz 18:37h - (H) Herler Str. 18:40h - (H) Vischeringstr. 18:43h - (H) Thielenbruch 18:50h * https://t.co/qGxsx05g4R","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1072547216366202880","2018-12-11 17:42:38+00","VbbInfo","#104 Neu-Westend, Brixplatz hat 18 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 18:42 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072547214428389376","2018-12-11 17:42:37+00","VbbInfo","#109 Airport Tegel via Kurfürstendamm hat 15 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 18:42 11.12.18","VBBInfo","f","berlin","train"
"x75038673","x1072547166567219200","2018-12-11 17:42:26+00","vgf_ffm","Störung bis 11.12.2018, 20.00 Uhr! Betroffene Linie: Strab 17. Mehr Infos auf unserer Webseite: https://t.co/uNNJZFoi4f https://t.co/WO8Anm7NeL","VGF - Störungstool","t","frankfurt","train"
"x980086351","x1072546686160027648","2018-12-11 17:40:31+00","KVB_Info","Linie 18 * Folgende Fahrt entfällt * (H) Thielenbruch 18:48h - (H) Vischeringstr. 18:54h - (H) Herler Str. 18:57h - (H) Wiener Platz 19:00h - (H) Reichenspergerpl. 19:08h - (H) Ebertplatz 19:09h - (H) Dom/Hbf 19:12h - (H) Neumarkt 19:16h - (H)... https://t.co/W6R0sPD6u4","MOFIS Tweets","f","koeln","train"
"x166866601","x1072545943348764672","2018-12-11 17:37:34+00","SBahnBerlin","#S3: Es verkehrt jetzt ein Pendelzug zwischen #Friedrichshagen und #Erkner https://t.co/M8PZQfTKuT","TweetDeck","t","berlin","train"
"x980086351","x1072545680693051392","2018-12-11 17:36:31+00","KVB_Info","Linie 5 * Folgende Fahrt entfällt * (H) Heumarkt 18:42h - (H) Dom/Hbf 18:44h - (H) Friesenplatz 18:47h - (H) Subbelratherstr. 18:55h - (H) Iltisstr. 19:00h - (H) Sparkasse Am Butzweilerhof 19:09h * https://t.co/nOxqBcyxxZ","MOFIS Tweets","f","koeln","train"
